Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red Cusco VRAEM,VILLA KINTIARINA,00002488,LA CONVENCION,VILLA KINTIARINA
Red Cusco Sur,CHALLABAMBA,00002514,PAUCARTAMBO,CHALLABAMBA
Red Cusco Sur,COLQUEPATA,00002516,PAUCARTAMBO,COLQUEPATA
Red Cusco Sur,PAMPACAMARA,00002524,QUISPICANCHI,CCATCA
Red Cusco Norte,CHILLCA,00002550,URUBAMBA,OLLANTAYTAMBO
Red Cusco Norte,DIGNIDAD NACIONAL,00002309,CUSCO,SANTIAGO
Red Cusco Norte,CHINCHAYPUJIO,00036240,ANTA,CHINCHAYPUJIO
Red Cusco Norte,ACCHA ALTA - PAMPALLACTA,00010762,CALCA,CALCA
Red Cusco Norte,TIRACANCHA,00036087,CALCA,SAN SALVADOR
Red Chumbivilcas,TOTORAPALLCA,00006985,CHUMBIVILCAS,LLUSCO
Red Chumbivilcas,LLUSCO,00002407,CHUMBIVILCAS,LLUSCO
Hospital,ESPINAR,00007135,ESPINAR,ESPINAR
Red CCE,COPORAQUE,00002412,ESPINAR,COPORAQUE
Red CCE,SUYKUTAMBO,00002419,ESPINAR,SUYCKUTAMBO
Red La Convencion,SANTA ANA,00008910,LA CONVENCION,SANTA ANA
Red La Convencion,CIRIALO,00002429,LA CONVENCION,ECHARATE
Red La Convencion,MATORIATO,00008907,LA CONVENCION,QUELLOUNO
Red Cusco VRAEM,KIMBIRI ALTO,00002475,LA CONVENCION,KIMBIRI
Red La Convencion,YUVENI,00002489,LA CONVENCION,VILCABAMBA
Red Cusco Sur,HUANOQUITE,00002504,PARURO,HUANOQUITE
Red Cusco Sur,OMACHA,00002505,PARURO,OMACHA
Red Cusco Sur,TINKI,00006977,QUISPICANCHI,OCONGATE
Red Cusco Norte,COLLPANI,00002547,URUBAMBA,MACHUPICCHU
Red La Convencion,MONTETONI,00013066,LA CONVENCION,MEGANTONI
Red La Convencion,NUEVA VIDA,00015235,LA CONVENCION,MEGANTONI
Red Cusco Norte,PICCHU LA RINCONADA,00002294,CUSCO,CUSCO
Red Cusco Sur,SAN JUAN DE POMACANCHI,00002322,ACOMAYO,POMACANCHI
